ID,Pos,Player,Team,Eligible,Status,Age,Opponent,IP,SV,HLD,K,ERA,WHIP,W+QS,GP,FANTRAXID,IDFANGRAPHS,MLBID,TBF,FIP,xFIP,SIERA,K-BB%,HardHit%,BABIP+,Stuff+,Location+,Pitching+,CSW%,Pitches,K%,BB%,est_woba_minus_woba_diff,era_minus_xera_diff,bip,brl_percent,ev95plus,avg_hit_speed,avg_hit_angle,team_name
*02c2r*,SP,Carlos Rodon,NYY,SP,Res,31,STL Sun 12:35PM,146.1,0,0,161,4.31,1.251,27,27,*02c2r*,16137,607074.0,621.0,4.34,4.2,3.86,0.184,0.413,104.0,123.0,98.0,104.0,0.28,2632.0,0.259,0.076,0.007,0.125,404.0,9.9,168.0,90.4,18.3,The Geriatric and Injured
*04mlr*,SP,Jeffrey Springs,TB,SP,Res,31,SD Sun 12:40PM,27.0,0,0,33,3.67,1.444,1,6,*04mlr*,17677,605488.0,118.0,3.76,3.59,3.54,0.203,0.45299999999999996,129.0,87.0,100.0,96.0,0.29,483.0,0.28,0.076,0.036,-0.063,75.0,10.7,35.0,90.1,15.6,The Geriatric and Injured
*04pmp*,SP,Simeon Woods-Richardson,MIN,"SP,RP",Res,23,TOR Sun 1:10PM,117.0,0,0,102,3.85,1.179,12,23,*04pmp*,24494,680573.0,487.0,4.04,4.42,4.39,0.131,0.363,92.0,88.0,104.0,100.0,0.248,1979.0,0.209,0.078,-0.027,-0.214,344.0,9.0,126.0,88.6,17.7,The Geriatric and Injured
*04o2w*,RP,Ben Brown,CHC,"SP,RP",IR,24,@WSH Sun 12:35PM,55.1,0,1,64,3.58,1.084,3,15,*04o2w*,23590,676962.0,222.0,3.12,3.65,3.45,0.203,0.514,92.0,110.0,96.0,100.0,0.324,849.0,0.28800000000000003,0.086,-0.0529999999999999,-0.662,138.0,10.9,71.0,91.8,16.2,The Geriatric and Injured
*025j1*,SP,Robbie Ray,SF,SP,IR,32,MIA Sun 3:05PM,30.2,0,0,43,4.7,1.141,5,7,*025j1*,11486,592662.0,129.0,4.97,4.11,3.53,0.217,0.354,80.0,103.0,95.0,95.0,0.301,568.0,0.33299999999999996,0.11599999999999999,0.011,0.906,64.0,9.4,23.0,86.8,19.2,The Geriatric and Injured
*05yb1*,SP,Drew Thorpe,CHW,SP,IR,23,NYM Sun 1:10PM,44.1,0,0,25,5.48,1.263,8,9,*05yb1*,31967,689672.0,190.0,5.88,5.83,5.87,0.021,0.371,71.0,81.0,99.0,93.0,0.247,721.0,0.132,0.111,-0.021,0.791,142.0,7.0,53.0,87.4,16.1,The Geriatric and Injured
*041qo*,SP,Zac Gallen,ARI,SP,Act,29,LAD Sun 3:10PM,121.0,0,0,118,3.87,1.314,20,23,*041qo*,19291,668678.0,513.0,3.35,3.75,4.03,0.146,0.41100000000000003,107.0,99.0,100.0,99.0,0.27699999999999997,2022.0,0.23,0.084,-0.007,-0.252,348.0,6.3,143.0,90.1,11.5,Heaters
*04ppz*,SP,Jake Irvin,WSH,SP,Act,27,CHC Sun 12:35PM,161.0,0,0,136,4.08,1.186,23,28,*04ppz*,21504,663623.0,659.0,4.4,4.0,4.13,0.146,0.386,94.0,94.0,104.0,102.0,0.263,2632.0,0.20600000000000002,0.061,-0.005,-0.179,479.0,9.0,186.0,88.8,11.8,Heaters
*03qqf*,RP,Alexis Diaz,CIN,RP,Act,27,MIL Sun 11:10AM,47.1,24,0,47,4.75,1.437,1,51,*03qqf*,21132,664747.0,209.0,4.93,5.11,4.57,0.091,0.395,94.0,114.0,96.0,103.0,0.263,839.0,0.225,0.134,0.006,0.514,129.0,7.8,51.0,88.7,21.0,Heaters
*02bx4*,RP,Clay Holmes,NYY,RP,Act,31,STL Sun 12:35PM,54.0,29,0,60,2.67,1.241,2,55,*02bx4*,13649,605280.0,229.0,2.49,2.79,2.58,0.192,0.36,117.0,136.0,99.0,108.0,0.326,924.0,0.262,0.07,0.014,-0.153,150.0,5.3,54.0,88.0,-0.5,Heaters
